id,is_pass
1626_45,0.5868595578014107
11020_130,0.9932344224375058
12652_146,0.4258283457529145
7038_72,0.05722923900256702
888_71,0.4547917696571055
18922_62,0.872850973368792
5499_29,0.9843527668868439
10150_125,0.9818834517802235
10158_95,0.8831008443335074
6215_17,0.9240816623174972
6719_121,0.9715287650221289
14498_175,0.9444699783654358
15169_153,0.9868643043488128
11094_23,0.3750360147239573
17853_11,0.8961663107236406
15437_157,0.8366089805129804
7156_53,0.7752340822769719
1406_69,0.8733145161824012
6127_32,0.8067803433023837
19983_89,0.9697592905752963
14606_87,0.8857370531272493
15316_112,0.832593214516103
2729_157,0.9098709270429748
15099_94,0.33659268392108843
1226_135,0.7250194916344916
5097_64,0.31539718629665814
7456_19,0.9396607213376618
5846_70,0.8816397810352474
12159_44,0.6992069935678362
17292_94,0.5775636286793304
7038_74,0.7072476199060664
10956_131,0.9796433044111941
8828_136,0.7928567618499996
10477_27,0.9810617185438812
18548_82,0.9761953847156087
4093_82,0.6309719614987858
299_160,0.9258696424896427
6165_117,0.9439702720729453
1139_80,0.33400341875149947
6498_93,0.41408807406326675
18332_127,0.9390274864190112
4167_88,0.9503204720872003
5207_80,0.7466760083601487
9653_39,0.9827927212023533
9730_31,0.970465942892816
14676_158,0.9124807939112646
13104_57,0.8074894191152022
4695_32,0.4581995071177115
8544_81,0.9781843230123026
3175_103,0.8543558845996205
5294_167,0.8950058885904733
16934_97,0.5306484167633327
16711_154,0.9547863890034163
11574_83,0.25404800209497286
8183_84,0.6358944918328382
1986_164,0.9919245580604659
10067_21,0.8885020977943647
3588_154,0.9919428322766008
10785_65,0.7603478294846435
1858_144,0.8475955176994887
10801_174,0.9073270791772674
1645_149,0.9628023811228639
8584_128,0.911374870343636
16381_47,0.9228384992855754
10042_28,0.9906224398889656
9725_125,0.9012308028306424
3906_95,0.6687065548396962
13921_40,0.6245776910598664
20096_103,0.10648521223837495
10021_101,0.2683758627177975
1035_19,0.7827443141210393
105_128,0.8973982749149496
7720_87,0.22436739079315243
12174_50,0.39495025272716494
12560_89,0.5944369036949391
11847_86,0.48980187589972946
10240_22,0.8463508608090587
7852_82,0.7848834271341404
3462_104,0.6244870992805991
3592_103,0.7053942239020481
18365_120,0.9586968426204139
10326_23,0.19129658793803092
10334_135,0.8433477483618113
2893_118,0.9957402070637258
20072_67,0.6230165486920841
3308_9,0.35052907289483715
14550_170,0.8708183134499127
1926_132,0.6453801440430693
6580_14,0.19209445483882506
2504_126,0.1460820054101615
16734_43,0.5957727099078477
5279_121,0.5927158858748763
11361_180,0.08018610204171099
9156_143,0.9427614552509009
8157_135,0.8099148201783123
4985_159,0.7145494394884476
7191_79,0.7176192774817491
13297_140,0.2481161253927094
10763_94,0.6293782862512828
